Reaction,Comp2GPR rules,yeast9 rules,Exact Match
r_0439,YFR033C and YDR529C and Q0105 and YOR065W and YBL045C and YPR191W and YEL024W and YJL166W and YGR183C and YHR001W-A,(Q0105 and YBL045C and YDR529C and YEL024W and YEL039C and YFR033C and YGR183C and YHR001W-A and YJL166W and YOR065W and YPR191W) or (Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W-A and YJL166W and YJR048W and YOR065W and YPR191W),False
r_0440,YDL045C,YDL045C,True
r_0441,YLR011W,YLR011W,True
r_0442,YLR011W,YLR011W,True
r_0443,YDL168W,YDL168W,True
r_0445,YOR388C,YOR388C,True
r_0446,YGR204W,YGR204W,True
r_0447,YBR084W,YBR084W,True
r_0448,YJL155C or YLR345W,YLR345W or YJL155C,True
r_0449,YLR377C,YLR377C,True
r_0450,YKL060C,YKL060C,True
r_0451,YPL262W,YPL262W,True
r_0452,YPL262W,YPL262W,True
r_0453,YKL216W,YKL216W,True
r_0454,YEL047C,YEL047C,True
r_0455,YEL047C,YEL047C,True
r_0457,YLR299W,YLR299W,True
r_0458,YBR020W,YBR020W,True
r_0459,YBR018C,YBR018C,True
r_0460,YJL101C,YJL101C,True
r_0461,,,True
r_0462,YJL167W,YJL167W,True
r_0463,YPR184W,YPR184W,True
r_0464,YIL099W,YIL099W,True
r_0465,,,True
r_0466,YNL241C,YNL241C,True
r_0467,YBR196C,YBR196C,True
r_0468,YDR300C,YDR300C,True
r_0469,YMR250W,YMR250W,True
r_0470,YDL215C,YDL215C,True
r_0471,YAL062W or YOR375C,YAL062W or YOR375C,True
r_0472,YDL171C,YDL171C,True
r_0473,YOR323C,YOR323C,True
r_0475,(YNL334C and YMR096W) or (YFL060C and YFL059W),YFL060C or YNL334C,False
r_0476,YPR035W,YPR035W,True
r_0477,YKL104C,YKL104C,True
r_0478,YOR168W,YOR168W,True
r_0479,YGR264C and YGL245W and YGL105W,YGL245W,False
r_0480,YOL033W,YOL033W,True
r_0481,YPL091W,(YCL035C and YPL091W) or (YDR098C and YPL091W) or (YDR513W and YPL091W) or (YER174C and YPL091W),False
r_0482,YPL091W,YPL059W and YPL091W,False
r_0483,YNL229C or YBR244W or YCL035C or YDR513W or YIR037W or YKL026C,YNL229C or YBR244W or YCL035C or YDR513W or YIR037W or YKL026C,True
r_0484,YPL059W,YPL059W,True
r_0485,YOL049W,YOL049W,True
r_0486,YGR192C or YJL052W or YJR009C,YGR192C or YJL052W or YJR009C,True
r_0487,YOR120W,YOR120W,True
r_0488,YHL032C,YHL032C,True
r_0489,YER062C or YIL053W,YER062C or YIL053W,True
r_0490,YIL155C,YIL155C,True
r_0491,YDL022W or YOL059W,YDL022W or YOL059W,True
r_0492,YOL059W,YOL059W,True
r_0497,YPL110C,YPL110C,True
r_0499,YDR408C,YDR408C,True
r_0500,,,True
r_0501,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0502,YLR058C,YLR058C,True
r_0503,YBR263W,YBR263W,True
r_0504,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0505,YAL044C and YDR019C and YFL018C and YMR189W,(YAL044C and YDR019C and YFL018C and YMR189W) or (YDR148C and YFL018C and YIL125W),False
r_0506,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0507,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0508,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0509,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_0510,(YFR015C and YKR058W) or (YFR015C and YJL137C),(YFR015C and YJL137C) or (YFR015C and YKR058W) or (YJL137C and YLR258W) or (YKR058W and YLR258W),False
r_0511,YPR160W,YPR160W,True
r_0512,YBR121C or YPR081C,YBR121C or YPR081C,True
r_0514,YMR217W,YMR217W,True
r_0518,YMR281W,YMR281W,True
r_0519,YCL052C and YJR013W,YCL052C and YJR013W,True
r_0520,YKL165C,YKL165C,True
r_0521,YBR004C and YNL158W,YBR004C,False
r_0522,YGL142C,YGL142C,True
r_0523,(YDR302W and YJL062W and YLL031C) or (YDR302W and YLL031C),YDR302W or YLL031C,False
r_0524,YGR267C,YGR267C,True
r_0525,YBL033C,YBL033C,True
r_0526,YDL238C,YDL238C,True
r_0527,YDR399W,YDR399W,True
r_0528,YDR454C,YDR454C,True
r_0529,YDR454C,YDR454C,True
r_0530,(YCL017C and YKL192C and YPL135W and YDL120W and YPL252C and YER048W-A) or YER141W,YER141W or (YDR376W and YPL252C),False
r_0531,YPL172C,YPL172C,True
r_0532,YDR204W and YOL096C and YOR125C and YML110C and YGR255C and YLR201C,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,True
r_0533,YLR446W or YFR053C or YGL253W,YLR446W or YFR053C or YGL253W,True
r_0534,YLR446W or YCL040W or YFR053C or YGL253W or YDR516C,YLR446W or YCL040W or YFR053C or YGL253W or YDR516C,True
r_0535,YLR446W or YFR053C or YGL253W,YLR446W or YFR053C or YGL253W,True
r_0536,YCL030C,YCL030C,True
r_0537,YFR025C,YFR025C,True
r_0538,YIL116W,YIL116W,True
r_0539,YPR033C,YPR033C,True
r_0540,YPR033C,YPR033C,True
r_0541,YBR034C,YBR034C,True
r_0542,YJL200C or YDR234W,YJL200C or YDR234W,True
r_0543,YDL131W or YDL182W,YDL131W or YDL182W,True
r_0544,YLL062C or YPL273W,YLL062C or YPL273W,True
r_0545,YIL094C,YIL094C,True
r_0546,YJR139C,YJR139C,True
r_0547,YJR139C,YJR139C,True
r_0548,YHR025W,YHR025W,True
r_0549,YNL277W,YNL277W,True
r_0550,(YDR453C and YGR209C) or (YDR453C and YLR043C),(YDR453C and YGR209C) or (YDR453C and YLR043C),True
r_0551,YBL064C and YCR083W,YBL064C and YCR083W,True
r_0552,(YGR209C and YLR109W) or (YLR043C and YLR109W),(YGR209C and YLR109W) or (YLR043C and YLR109W),True
r_0553,YDR272W,YDR272W,True
r_0554,YOR040W,YOR040W,True
r_0555,YNR041C,YNR041C,True
r_0556,YPL214C,YPL214C,True
r_0557,YDL205C,YDL205C,True
r_0558,YLR450W or YML075C,YLR450W or YML075C,True
r_0560,YML126C,YML126C,True
r_0561,YOL055C or YPL258C or YPR121W,YOL055C or YPL258C or YPR121W,True
r_0562,YDR399W,YDR399W,True
r_0563,YBR248C,YBR248C,True
r_0564,YOR202W,YOR202W,True
r_0565,YML056C or YHR216W or YLR432W,YHR216W or YLR432W or YML056C,True
r_0566,YER090W and YKL211C,YKL211C,False
r_0567,YGR087C or YLR044C or YLR134W,YGR087C or YLR044C or YLR134W,True
r_0568,YBR011C,YBR011C,True
r_0569,YMR267W,YMR267W,True
r_0570,YLR028C or YMR120C,YLR028C or YMR120C,True
r_0571,YDR315C,YDR315C,True
r_0572,YDR173C,YDR173C,True
r_0573,YDR173C,YDR173C,True
r_0574,YDR173C,YDR173C,True
r_0575,YDR173C,YDR173C,True
r_0596,YER019W,YER019W,True
r_0597,YER019W,YER019W,True
r_0598,YER019W,YER019W,True
r_0599,YER019W,YER019W,True
r_0600,YER019W,YER019W,True
r_0601,YER019W,YER019W,True
r_0602,YER019W,YER019W,True
r_0603,YER019W,YER019W,True
r_0604,YER019W,YER019W,True
r_0605,YER019W,YER019W,True
r_0606,YER019W,YER019W,True
r_0607,YER019W,YER019W,True
r_0608,YER019W,YER019W,True
r_0609,YER019W,YER019W,True
r_0610,YER019W,YER019W,True
r_0611,YER019W,YER019W,True
r_0612,YER019W,YER019W,True
r_0613,YER019W,YER019W,True
r_0614,YER019W,YER019W,True
r_0615,YER019W,YER019W,True
r_0616,YER019W,YER019W,True
r_0617,YER019W,YER019W,True
r_0618,YER019W,YER019W,True
r_0619,YER019W,YER019W,True
r_0620,YER019W,YER019W,True
r_0621,YER019W,YER019W,True
r_0622,YER019W,YER019W,True
r_0623,YER019W,YER019W,True
r_0624,YER019W,YER019W,True
r_0625,YER019W,YER019W,True
r_0626,YER019W,YER019W,True
r_0627,YER019W,YER019W,True
r_0628,YER019W,YER019W,True
r_0629,YER019W,YER019W,True
r_0630,YER019W,YER019W,True
r_0631,YER019W,YER019W,True
r_0632,YER019W,YER019W,True
r_0633,YER019W,YER019W,True
r_0634,YER019W,YER019W,True
r_0635,YER019W,YER019W,True
r_0636,YER019W,YER019W,True
r_0637,YER019W,YER019W,True
r_0638,YER019W,YER019W,True
r_0639,YER019W,YER019W,True
r_0640,YER019W,YER019W,True
r_0641,YER019W,YER019W,True
r_0642,YER019W,YER019W,True
r_0643,YER019W,YER019W,True
r_0644,YER019W,YER019W,True
r_0645,YER019W,YER019W,True
r_0646,YER019W,YER019W,True
r_0647,YER019W,YER019W,True
r_0648,YER019W,YER019W,True
r_0649,YER019W,YER019W,True
r_0650,YER019W,YER019W,True
r_0651,YER019W,YER019W,True
r_0652,YER019W,YER019W,True
r_0653,YER019W,YER019W,True
r_0654,YER019W,YER019W,True
r_0655,YER019W,YER019W,True
r_0656,YOR126C,YOR126C,True
r_0657,YOR126C,YOR126C,True
r_0658,YOR136W and YNL037C,YNL037C and YOR136W,True
r_0659,YLR174W,YLR174W,True
r_0661,YNL009W,YNL009W,True
r_0662,YER065C,YER065C,True
r_0663,YJR148W,YJR148W,True
r_0664,YHR208W,YHR208W,True
r_0665,YBL076C,YBL076C,True
r_0666,YPL040C,YPL040C,True
r_0667,YPL117C,YPL117C,True
r_0668,YGR244C and YOR142W,YGR244C and YOR142W,True
r_0669,YLR355C,YLR355C,True
r_0670,YLR231C,YLR231C,True
r_0671,YBL098W,YBL098W,True
r_0672,YHR037W,YHR037W,True
r_0673,YHR037W,YHR037W,True
r_0674,YLR089C,YLR089C,True
r_0675,YEL046C,YEL046C,True
r_0676,YMR226C,YMR226C,True
r_0678,YBR115C and YGL154C,YBR115C and YGL154C,True
r_0679,YDR321W,YDR321W,True
r_0680,YLR155C or YLR157C or YLR158C or YLR160C,YLR155C or YLR157C or YLR158C or YLR160C,True
r_0681,YLR027C,YLR027C,True
r_0682,YKL106W,YKL106W,True
r_0683,YLR027C,YLR027C,True
r_0687,YER023W,YER023W,True
r_0688,YHR104W or YOL151W,YHR104W or YOL151W,True
r_0689,YCL064C,YCL064C,True
r_0690,YMR226C,YMR226C,True
r_0691,YJR159W,YJR159W,True
r_0692,YCL064C,YCL064C,True
r_0693,YER086W,YER086W,True
r_0694,YJR078W,YJR078W,True
r_0695,YDR403W,YDR403W,True
r_0696,YOL151W,YOL151W,True
r_0697,YML004C,YML004C,True
r_0698,YHR072W,YHR072W,True
r_0699,YJR148W,YJR148W,True
r_0700,YHR208W,YHR208W,True
r_0701,YPL160W,YPL160W,True
r_0702,YLR382C,YLR382C,True
r_0703,YNL045W,YNL045W,True
r_0704,YNL045W,YNL045W,True
r_0705,YNL045W,YNL045W,True
r_0706,YNL045W,YNL045W,True
r_0707,YNL045W,YNL045W,True
r_0708,YNL045W,YNL045W,True
r_0711,YDR037W,YDR037W,True
r_0712,YNL073W,YNL073W,True
r_0713,YKL085W,YKL085W,True
r_0714,YOL126C,YOL126C,True
r_0715,YDL078C,YDL078C,True
r_0716,YIR031C or YNL117W,YIR031C or YNL117W,True
r_0717,YNL117W,YNL117W,True
r_0718,YGL062W and YKL029C,YKL029C,False
r_0719,YGL062W and YKL029C,YKL029C,False
r_0721,YCL017C and YKL192C and YPL135W and YDL120W and YPL252C and YER048W-A,YKL192C and YOR221C,False
r_0722,YDL055C,YDL055C,True
r_0723,YER003C,YER003C,True
r_0724,YBR084W,YBR084W,True
r_0725,YGR204W,YGR204W,True
r_0726,YLR180W or YDR502C,YDR502C or YLR180W,True
r_0727,YER091C,YER091C,True
r_0728,YBL013W,YBL013W,True
r_0729,YGR264C and YGL245W and YGL105W,YGR264C,False
r_0730,YGR171C,YGR171C,True
r_0731,YKR080W,YKR080W,True
r_0732,YGR204W,YGR204W,True
r_0733,YBR084W,YBR084W,True
r_0734,YPR006C,YPR006C,True
r_0735,YMR208W,YMR208W,True
r_0736,YMR208W,YMR208W,True
r_0737,YMR208W,YMR208W,True
r_0738,YMR208W,YMR208W,True
r_0739,YNR043W,YNR043W,True
r_0747,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0748,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0749,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0750,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0751,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0752,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0753,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0754,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0755,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0756,(YBR036C and YPL057C) or (YBR036C and YBR161W),(YBR036C and YBR161W) or (YBR036C and YPL057C),True
r_0757,YDR287W or YHR046C,YDR287W or YHR046C,True
r_0758,YJL153C,YJL153C,True
r_0759,YJL071W and YER069W,YER069W,False
r_0760,YFL017C,YFL017C,True
r_0761,(YJL071W and YER069W) or YMR062C,YJL071W or YMR062C,False
r_0762,YDR428C,YDR428C,True
r_0763,YDR402C and YDR403W,YDR402C and YDR403W,True
r_0764,YGL067W,YGL067W,True
r_0765,YEL041W or YJR049C,YEL041W or YJR049C,True
r_0766,YEL041W or YJR049C or YPL188W,YEL041W or YJR049C or YPL188W,True
r_0767,YDL042C or YDR191W or YOL068C or YOR025W or YPL015C,YDL042C or YDR191W or YOL068C or YOR025W or YPL015C,True
r_0768,YHR074W,YHR074W,True
r_0769,YHR074W,YHR074W,True
r_0770,YDL085W or YMR145C,YDL085W or YMR145C,True
r_0771,YEL041W or YJR049C,YEL041W or YJR049C,True
r_0772,YEL041W or YJR049C or YPL188W,YEL041W or YJR049C or YPL188W,True
r_0773,YML120C,YML120C,True
r_0774,YOR209C,YOR209C,True
r_0775,YOR209C,YOR209C,True
r_0781,YGL037C,YGL037C,True
r_0782,YLR285W,YLR285W,True
r_0783,YCL047C or YLR328W,YCL047C or YLR328W,True
r_0784,YGR010W or YLR328W,YGR010W or YLR328W,True
r_0785,YGR010W or YLR328W,YGR010W or YLR328W,True
r_0786,YFR047C,YFR047C,True
r_0787,YFR047C,YFR047C,True
r_0788,YER005W,YER005W,True
r_0789,YER005W,YER005W,True
r_0790,YER005W,YER005W,True
r_0791,YEL042W,YEL042W,True
r_0792,YER005W,YER005W,True
r_0793,YER005W,YER005W,True
r_0795,YKL067W,YKL067W,True
r_0796,YKL067W,YKL067W,True
r_0797,YKL067W,YKL067W,True
r_0798,YKL067W,YKL067W,True
r_0799,YKL067W,YKL067W,True
r_0800,YKL067W,YKL067W,True
r_0801,YKL067W,YKL067W,True
r_0802,YKL067W,YKL067W,True
r_0803,YKL067W,YKL067W,True
r_0804,YAL035W or YLL001W or YER005W,YAL035W or YLL001W or YER005W,True
r_0805,YER005W,YER005W,True
r_0806,YER005W,YER005W,True
r_0807,YER005W,YER005W,True
r_0810,YEL042W,YEL042W,True
r_0811,YKL067W,YKL067W,True
r_0812,YLR303W,YLR303W,True
r_0813,YLR303W,YLR303W,True
r_0815,YLL058W or YML082W or YAL012W,YLL058W or YML082W or YAL012W,True
r_0816,YJL088W,YJL088W,True
r_0817,YKL184W,YKL184W,True
r_0818,YMR062C,YMR062C,True
r_0819,YLR438W,YLR438W,True
r_0820,YML106W or YMR271C,YML106W or YMR271C,True
r_0821,YEL021W,YEL021W,True
r_0831,YDR148C and YFL018C and YFR049W and YIL125W,(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W),False
r_0832,YDR148C and YFL018C and YFR049W and YIL125W,(YDR148C and YFL018C and YIL125W and YFR049W) or (YDR148C and YFL018C and YIL125W),False
r_0841,YKL088W and YIL083C and YGR277C and YDR196C,YGR277C,False
r_0842,YDR531W,YDR531W,True
r_0843,YIL145C,YIL145C,True
r_0844,YJR019C,YJR019C,True
r_0845,YJR019C,YJR019C,True
r_0847,YJR019C,YJR019C,True
r_0848,YJR019C,YJR019C,True
r_0849,YJR019C,YJR019C,True
r_0850,YJR019C,YJR019C,True
r_0851,YGL202W,YGL202W,True
r_0852,YLR060W and YFL022C,YFL022C and YLR060W,True
r_0853,YPR047W,YPR047W,True
r_0854,YDR380W,YDR380W,True
r_0855,YGL234W,YGL234W,True
r_0882,YEL058W,YEL058W,True
r_0883,(YGR209C and YPR167C) or (YLR043C and YPR167C),(YGR209C and YPR167C) or (YLR043C and YPR167C),True
r_0884,YKR097W,YKR097W,True
r_0885,YGR007W,YGR007W,True
r_0886,YGR240C and YMR205C,YGR240C and YMR205C,True
r_0887,YGR240C and YMR205C,YGR240C and YMR205C,True
r_0888,YMR105C or YKL127W,YMR105C or YKL127W,True
r_0889,YGR256W or YHR183W,YGR256W or YHR183W,True
r_0890,YEL058W,YEL058W,True
r_0891,YER081W or YIL074C,YER081W or YIL074C,True
r_0892,YCR012W,YCR012W,True
r_0893,YOR283W or YKL152C,YOR283W or YKL152C,True
r_0902,YFL045C,YFL045C,True
r_0903,YOL055C or YPL258C or YPR121W,YOL055C or YPL258C or YPR121W,True
r_0904,YMR220W,YMR220W,True
r_0905,YKL088W and YIL083C and YGR277C and YDR196C,YIL083C,False
r_0906,(YKL088W and YKR072C and YOR054C) or (YDR196C and YGR277C and YIL083C and YKL088W),YKL088W and YKR072C and YOR054C,False
r_0907,YKL127W or YMR105C or YMR278W,YKL127W or YMR105C or YMR278W,True
r_0908,YAR015W,YAR015W,True
r_0909,YCL030C,YCL030C,True
r_0910,YCL030C,YCL030C,True
r_0911,YOR128C,YOR128C,True
r_0912,YLR028C or YMR120C,YLR028C or YMR120C,True
r_0913,YDR007W,YDR007W,True
r_0914,YGL234W,YGL234W,True
r_0915,YMR300C,YMR300C,True
r_0916,(YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL061W),(YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL061W),True
r_0917,YGR208W,YGR208W,True
r_0918,YOR184W,YOR184W,True
r_0919,YBR183W,YBR183W,True
r_0920,YDR402C,YDR402C,True
r_0921,YDR294C,YDR294C,True
r_0922,YDR297W,YDR297W,True
r_0929,YMR020W,YMR020W,True
r_0935,YGL040C,YGL040C,True
r_0936,YMR020W,YMR020W,True
r_0937,YMR020W,YMR020W,True
r_0938,YNL316C,YNL316C,True
r_0939,YBR166C,YBR166C,True
r_0940,YLR142W,YLR142W,True
r_0941,YHR020W,YHR020W,True
r_0942,YER014W,YER014W,True
r_0943,YLR209C,YLR209C,True
r_0949,YLR209C,YLR209C,True
r_0950,YLR209C,YLR209C,True
r_0951,YLR209C,YLR209C,True
r_0953,YBR035C,YBR035C,True
r_0954,YBR035C,YBR035C,True
r_0955,YBR035C,YBR035C,True
r_0956,YBR035C,YBR035C,True
r_0957,YER023W,YER023W,True
r_0958,YGL062W or YBR218C,YBR218C or YGL062W,True
r_0959,YGR087C or YLR044C or YLR134W,YGR087C or YLR044C or YLR134W,True
r_0960,YGR087C or YLR044C or YLR134W,YGR087C or YLR044C or YLR134W,True
r_0961,YBR221C and YER178W and YFL018C and YGR193C and YNL071W,YBR221C and YER178W and YFL018C and YGR193C and YNL071W,True
r_0962,YAL038W or YOR347C,YAL038W or YOR347C,True
r_0963,YDR204W and YOL096C and YML110C and YGR255C and YLR201C,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,False
r_0964,YDR135C,YDR135C,True
r_0965,YDR236C,YDR236C,True
r_0966,YDR236C,YDR236C,True
r_0967,YOL143C,YOL143C,True
r_0968,YBR256C,YBR256C,True
r_0969,YCR036W,YCR036W,True
r_0970,YGR209C,YGR209C,True
r_0971,YGR209C,YGR209C,True
r_0972,YGR209C,YGR209C,True
r_0973,YGR209C,YGR209C,True
r_0974,(YER070W and YGR180C and YJL026W) or (YER070W and YGR180C and YIL066C and YJL026W),YER070W or YGR180C or YIL066C or YJL026W,False
r_0975,(YER070W and YGR180C and YJL026W) or (YER070W and YGR180C and YIL066C and YJL026W),YER070W or YGR180C or YIL066C or YJL026W,False
r_0976,(YER070W and YGR180C and YJL026W) or YIL066C,YER070W or YGR180C or YIL066C or YJL026W,False
r_0977,(YER070W and YGR180C and YJL026W) or (YER070W and YGR180C and YIL066C and YJL026W),YER070W or YGR180C or YIL066C or YJL026W,False
r_0978,(YER070W and YGR180C and YJL026W) or (YER070W and YGR180C and YIL066C and YJL026W),YER070W or YGR180C or YIL066C or YJL026W,False
r_0979,(YER070W and YGR180C and YJL026W) or (YER070W and YGR180C and YIL066C and YJL026W),YER070W or YGR180C or YIL066C or YJL026W,False
r_0982,YOR095C,YOR095C,True
r_0983,YNL129W,YNL129W,True
r_0984,YJL121C,YJL121C,True
r_0985,YDR204W and YOL096C and YOR125C and YML110C and YGR255C and YLR201C,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,True
r_0986,YML008C,YML008C,True
r_0987,YJL068C,YJL068C,True
r_0988,YIR034C,YIR034C,True
r_0989,YNR050C,YNR050C,True
r_0990,YKL060C,YKL060C,True
r_0992,YHR013C and YDL040C and YOR253W,YHR013C and YDL040C and YOR253W,True
r_0993,YMR296C and YKL212W and YDR062W and YGR038W and YLR350W and YBR058C-A,YMR296C and YKL212W and YDR062W and YGR038W and YLR350W and YBR058C-A,True
r_0995,(YDR023W and YOR239W) or YHR011W,YDR023W or YHR011W,False
r_0996,YDR127W,YDR127W,True
r_0997,YDR127W,YDR127W,True
r_0998,YBR213W,YBR213W,True
r_0999,YBR213W,YBR213W,True
r_1000,YEL047C,YEL047C,True
r_1001,YPR069C,YPR069C,True
r_1002,YLR146C,YLR146C,True
r_1003,YDR294C,YDR294C,True
r_1004,YJL134W or YKR053C,YJL134W or YKR053C,True
r_1005,YJL134W or YKR053C,YJL134W or YKR053C,True
r_1006,YLR260W or YOR171C,YLR260W or YOR171C,True
r_1007,YLR260W or YOR171C,YLR260W or YOR171C,True
r_1008,,,True
r_1009,,,True
r_1010,YGR175C,YGR175C,True
r_1011,YGR175C,YGR175C,True
r_1012,YHR190W,YHR190W,True
r_1021,(YKL141W and YLL041C and YKL148C) or (YLL041C and YKL141W and YDR178W and YKL148C),(YDR178W and YJL045W and YKL141W and YLL041C) or (YDR178W and YKL141W and YKL148C and YLL041C) or (YLR164W and YJL045W and YKL141W and YLL041C),False
r_1022,YGR244C and YOR142W,YGR244C and YOR142W,True
r_1023,YBR006W,YBR006W,True
r_1024,YIL162W,YIL162W,True
r_1025,YJR010W,YJR010W,True
r_1026,YCL050C,YCL050C,True
r_1027,YFR030W and YJR137C,YFR030W and YJR137C,True
r_1028,YLL048C,YLL048C,True
r_1029,YLL057C,YLL057C,True
r_1030,YAL044C and YDR019C and YFL018C and YMR189W,YAL044C and YDR019C and YFL018C and YMR189W,True
r_1031,YKL132C or YOR241W,YKL132C or YOR241W,True
r_1032,YBR092C,YBR092C,True
r_1033,YBR092C,YBR092C,True
r_1034,YOR143C,YOR143C,True
r_1035,YOR143C,YOR143C,True
r_1036,YPL214C,YPL214C,True
r_1037,(YGR209C and YIL010W) or (YIL010W and YLR043C),(YGR209C and YIL010W) or (YIL010W and YLR043C),True
r_1038,YDR353W,(YDR353W and YGR209C) or (YDR353W and YLR043C) or YDR353W,False
r_1039,YHR106W or YPL091W,(YCR083W and YHR106W) or (YCR083W and YPL091W),False
r_1040,YEL046C,YEL046C,True
r_1041,YCR053W,YCR053W,True
r_1042,YIL078W,YIL078W,True
r_1043,YKL194C,YKL194C,True
r_1045,YOR074C,YOR074C,True
r_1046,YER175C,YER175C,True
r_1047,YBR003W,YBR003W,True
r_1048,YGR043C or YLR354C,YGR043C or YLR354C,True
r_1049,YBR117C or YPR074C,YBR117C or YPR074C,True
r_1050,YBR117C or YPR074C,YBR117C or YPR074C,True
r_1051,(YBR126C and YDR074W and YMR261C) or (YBR126C and YDR074W and YML100W),(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C),True
r_1054,YDR050C,YDR050C,True
r_1055,YGL026C,YGL026C,True
r_1056,YGL202W,YGL202W,True
r_1057,YOL097C,YOL097C,True
r_1058,YDR268W,YDR268W,True
r_1063,YGL202W,YGL202W,True
r_1065,YLR027C,YLR027C,True
r_1066,YGR185C,YGR185C,True
r_1067,YPL097W,YPL097W,True
r_1068,YLR189C,YLR189C,True
r_1069,YDL103C,YDL103C,True
r_1070,YBR019C,YBR019C,True
r_1071,YBR018C,YBR018C,True
r_1072,YKL024C,YKL024C,True
r_1073,YKL024C,YKL024C,True
r_1074,YHR128W,YHR128W,True
r_1075,YBR208C,YBR208C,True
r_1076,YIR032C,YIR032C,True
r_1077,YDR020C or YNR012W,YDR020C or YNR012W,True
r_1078,YDR020C or YNR012W,YDR020C or YNR012W,True
r_1079,YKL024C,YKL024C,True
r_1080,YKL024C,YKL024C,True
r_1081,YDR047W,YDR047W,True
r_1082,YKR069W,YKR069W,True
r_1083,YOR278W,YOR278W,True
r_1084,YHL012W or YKL035W,YHL012W or YKL035W,True
r_1085,(YBR127C and YCL005W-A and YDL185W and YEL027W and YEL051W and YGR020C and YGR106C and YHR026W and YHR039C-A and YKL080W and YLR447C and YMR054W and YOR332W and YPL234C and YPR036W and YPR170W-B) or (YBR127C and YCL005W-A and YDL185W and YEL027W and YEL051W and YGR020C and YGR106C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YPR170W-B),(YPR170W-B and YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YOR332W and YHR026W and YEL027W and YKL080W and YLR447C and YEL051W and YPL234C and YMR054W and YGR020C and YPR036W and YHR039C-A and YGR106C and YCL005W-A),False
r_1086,(YBR127C and YCL005W-A and YDL185W and YEL027W and YEL051W and YGR020C and YGR106C and YHR026W and YHR039C-A and YKL080W and YLR447C and YMR054W and YOR332W and YPL234C and YPR036W and YPR170W-B) or (YBR127C and YCL005W-A and YDL185W and YEL027W and YEL051W and YGR020C and YGR106C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YPR170W-B),(YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YPR170W-B and YGR106C and YCL005W-A) or (YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C-A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W and YGR106C and YCL005W-A),False
r_1087,YJR148W,YJR148W,True
r_1088,YHR208W,YHR208W,True
r_1089,YGR094W,YGR094W,True
r_1090,YGR094W,YGR094W,True
r_1091,YJR133W,YJR133W,True
r_1092,YLR070C,YLR070C,True
r_1093,YHR104W,YHR104W,True
