Rxn,Genes,GPRuler rules,Yeast9 rules,Exact Match
r_4242,[],No Rule,YGL038C,False
r_4243,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YGL065C,False
r_4244,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YGL065C,False
r_4245,[],No Rule,YGL156W,False
r_4246,[],No Rule,YGL156W,False
r_4252,[],No Rule,YGR144W,False
r_4254,[],No Rule,YGR234W,False
r_4255,[],No Rule,YGR234W,False
r_4256,[],No Rule,YJL046W,False
r_4258,[],No Rule,YJL046W,False
r_4263,"[['YDL067C'], ['YMR256C'], ['YLR395C'], ['YGL187C'], ['Q0275'], ['YGL191W'], ['YNL052W'], ['Q0250'], ['YLR038C'], ['Q0045'], ['YHR051W'], ['YDR135C'], ['YLL048C'], ['YGL008C'], ['YDR040C'], ['YHR001W-A'], ['YER005W'], ['YBR295W'], ['YDR270W'], ['YDL185W'], ['YJR121W'], ['YKL209C'], ['YAL019W'], ['YBL023C'], ['YBR202W'], ['YDL031W'], ['YDL084W'], ['YDL126C'], ['YDL160C'], ['YDL229W'], ['YDR021W'], ['YDR190C'], ['YDR194C'], ['YDR243C'], ['YDR334W'], ['YDR545W'], ['YEL031W'], ['YEL032W'], ['YEL077C'], ['YER013W'], ['YER171W'], ['YER172C'], ['YER176W'], ['YER190W'], ['YFL002C'], ['YGL078C'], ['YGL120C'], ['YGL150C'], ['YGL163C'], ['YGL171W'], ['YGL201C'], ['YGR271W'], ['YGR296W'], ['YHR031C'], ['YHR065C'], ['YHR164C'], ['YHR169W'], ['YIL126W'], ['YIL143C'], ['YIL177C'], ['YJL033W'], ['YJL034W'], ['YJL138C'], ['YJL225C'], ['YJR035W'], ['YKL017C'], ['YKL073W'], ['YKL078W'], ['YKR059W'], ['YLL008W'], ['YLL066C'], ['YLL067C'], ['YLR274W'], ['YLR397C'], ['YLR398C'], ['YLR419W'], ['YLR466W'], ['YLR467W'], ['YML061C'], ['YML133C'], ['YMR128W'], ['YMR190C'], ['YMR290C'], ['YNL112W'], ['YNL209W'], ['YNL339C'], ['YNR038W'], ['YOR046C'], ['YOR204W'], ['YOR291W'], ['YOR396W'], ['YPL008W'], ['YPL029W'], ['YPL119C'], ['YPL235W'], ['YPL283C'], ['YPR019W'], ['YPR204W'], ['YGL167C']]",((YDL067C and Q0275 and YLR038C and YGL191W and Q0250 and Q0045 and YGL187C) or (YHR001W-A and Q0275 and Q0250) or (Q0275 and YLR038C and Q0250 and YHR051W and Q0045) or (YDL067C and Q0275 and YLR038C and Q0250 and YLR395C) or (YDL067C and Q0275 and YLR038C and Q0250 and YMR256C) or (YNL052W and YDL067C and Q0275 and YLR038C and Q0250) or (YDL160C and Q0275) or (YIL143C and YER171W and Q0275 and YMR256C) or (YGL201C and YMR256C and YBL023C) or (YBR202W and YMR256C and YBL023C) or (YKL078W and YDR021W) or (YDR190C and YPL235W and YDR334W) or (YGL150C and YDR190C) or (YMR256C and YEL032W and YBL023C) or (YIL143C and YHR001W-A and YER171W) or (YOR046C and YER171W) or (YER172C and YDR243C) or (YHR051W and YDL067C and YLR038C) or (Q0045 and YJR121W) or (YKL073W and YJL034W) or (YMR256C and YLR274W) or (YHR051W and YLR397C and YLR038C) or (YPR019W and YMR256C)) or YER005W or YDR135C or YOR204W or YGL078C or YBR295W or YDR040C or YPL008W or YAL019W or YHR169W or YGR296W or YPL119C or YMR290C or YLR419W or YKL209C or YER190W or YIL177C or YLL066C or YER013W or YGL171W or YIL126W or YFL002C or YDL185W or YEL031W or YLR398C or YLR467W or YGL008C or YGL120C or YDL229W or YLL008W or YDL126C or YJR035W or YJL225C or YLR466W or YPR204W or YDR270W or YHR164C or YER176W or YGL163C or YPL283C or YGL167C or YJL033W or YLL048C or YHR031C or YOR291W or YLL067C or YML061C or YKR059W or YDR545W or YGR271W or YJL138C or YDL031W or YNL209W or YEL077C or YPL029W or YOR396W or YML133C or YMR190C or YDL084W or YNR038W or YHR065C or YNL112W or YKL017C or YNL339C or YDR194C or YMR128W,YJR040W,False
r_4264,[],No Rule,YJR051W,False
r_4268,"[['YJR069C'], ['YOR111W']]",YOR111W or YJR069C,YJR069C,False
r_4271,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YJR131W or YLR057W,False
r_4272,[],No Rule,YJR131W or YLR057W,False
r_4273,[],No Rule,YJR149W,False
r_4274,[],No Rule,YLL058W or YML082W,False
r_4275,[],No Rule,YLR047C or YKL220C or YLR214W or YNR060W or YOL152W or YOR381W or YOR384W,False
r_4276,[],No Rule,YLL051C,False
r_4277,"[['YDL052C'], ['YOR175C'], ['YPR139C']]",YPR139C or YDL052C or YOR175C,YLR099C or YPR139C,False
r_4280,[],No Rule,YLR239C,False
r_4281,[],No Rule,YLR239C,False
r_4282,"[['YIL107C'], ['YLR345W'], ['YOL136C']]",YLR345W or YIL107C or YOL136C,YLR345W,False
r_4283,"[['YFR053C'], ['YGL253W'], ['YLR446W']]",YFR053C or YGL253W or YLR446W,YLR446W,False
r_4284,"[['YCL040W'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YDR516C']]",YFR053C or YGL253W or YCL040W or YLR446W or YDR516C,YLR446W,False
r_4285,"[['YCL040W'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YDR516C']]",YFR053C or YGL253W or YCL040W or YLR446W or YDR516C,YLR446W,False
r_4286,[],No Rule,YLR446W,False
r_4287,"[['YFR053C'], ['YGL253W'], ['YLR446W']]",YFR053C or YGL253W or YLR446W,YLR446W,False
r_4291,[],No Rule,YMR110C,False
r_4292,[],No Rule,YMR110C,False
r_4293,[],No Rule,YMR110C,False
r_4294,[],No Rule,YMR110C,False
r_4295,[],No Rule,YMR110C,False
r_4296,[],No Rule,YMR110C,False
r_4297,[],No Rule,YMR110C,False
r_4298,[],No Rule,YMR110C,False
r_4299,[],No Rule,YMR110C,False
r_4300,[],No Rule,YMR110C,False
r_4301,[],No Rule,YMR110C,False
r_4302,[],No Rule,YMR110C,False
r_4303,[],No Rule,YMR110C,False
r_4304,[],No Rule,YMR110C,False
r_4305,[],No Rule,YMR110C,False
r_4306,[],No Rule,YMR110C,False
r_4307,[],No Rule,YMR110C,False
r_4308,"[['YER005W'], ['YDL185W'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YGL167C']]",YER005W or YDL185W or YEL031W or YGL167C or YJL034W or YDL126C,YMR162C,False
r_4309,"[['YKL094W'], ['YMR210W']]",YMR210W or YKL094W,YMR210W,False
r_4310,[],No Rule,YNL048W,False
r_4311,[],No Rule,YNL048W,False
r_4313,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YNL219C,False
r_4315,[],No Rule,YNL274C,False
r_4316,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YNR030W,False
r_4317,[],No Rule,YOL157C,False
r_4318,[],No Rule,YOL157C,False
r_4319,[],No Rule,YOL157C,False
r_4321,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YOR067C,False
r_4322,"[['YLL048C'], ['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W'], ['YGL167C']]",(YJL034W and YKL073W) or YGL167C or YLL048C or YEL031W or YDL126C,YOR149C,False
r_4323,[],No Rule,YOR196C,False
r_4324,[],No Rule,YOR196C,False
r_4325,[],No Rule,YOR226C or YPL135W,False
r_4326,"[['YOR251C'], ['YOR286W']]",YOR286W or YOR251C,YOR251C or YOR285W or YOR286W,False
